"Wavelength","Alexa Fluor 488 EM","Alexa Fluor 488 EX"
594,0.084
595,0.0808
596,0.0774
597,0.0742
598,0.072
599,0.0688
600,0.0669
601,0.0642
602,0.0621
603,0.0601
604,0.0575
605,0.0559
606,0.0539
607,0.0511
608,0.0501
609,0.048
610,0.0465
611,0.0452
612,0.0433
613,0.042
614,0.0405
615,0.0389
616,0.0378
617,0.0364
618,0.0357
619,0.0341
620,0.033
621,0.0313
622,0.0305
623,0.029
624,0.0279
625,0.0269
626,0.0259
627,0.0244
628,0.0239
629,0.0228
630,0.0217
631,0.0211
632,0.0204
633,0.0197
634,0.0192
635,0.0186
636,0.0183
637,0.0169
638,0.0167
639,0.0158
640,0.0156
641,0.0149
642,0.0145
643,0.0142
644,0.0139
645,0.0131
646,0.0126
647,0.0122
648,0.0118
649,0.0117
650,0.011
651,0.0106
652,0.0106
653,0.0101
654,0.0098
655,0.0094
656,0.009
657,0.0088
658,0.0082
659,0.0082
660,0.008
661,0.0076
662,0.0073
663,0.0072
664,0.0071
665,0.007
666,0.0066
667,0.0067
668,0.0062
669,0.0061
670,0.0061
671,0.006
672,0.0056
673,0.0053
674,0.0052
675,0.0051
