"Wavelength","Alexa Fluor 488 EM","Alexa Fluor 488 EX"
300,,0.372
301,,0.3514
302,,0.3364
303,,0.323
304,,0.3089
305,,0.2993
306,,0.2911
307,,0.2817
308,,0.2784
309,,0.275
310,,0.2729
311,,0.2726
312,,0.2743
313,,0.2737
314,,0.2743
315,,0.2732
316,,0.2697
317,,0.2668
318,,0.2592
319,,0.2519
320,,0.243
321,,0.2328
322,,0.2198
323,,0.2098
324,,0.1992
325,,0.1864
326,,0.1757
327,,0.1677
328,,0.1582
329,,0.1493
330,,0.1439
331,,0.1393
332,,0.1363
333,,0.134
334,,0.1336
335,,0.1342
336,,0.1356
337,,0.1365
338,,0.1394
339,,0.1393
340,,0.1399
341,,0.1407
342,,0.1399
343,,0.1368
344,,0.1348
345,,0.1307
346,,0.1266
347,,0.122
348,,0.1176
349,,0.1124
350,,0.1085
351,,0.1025
352,,0.0981
353,,0.0934
354,,0.0884
355,,0.0835
356,,0.0798
357,,0.0753
358,,0.0719
359,,0.0688
360,,0.0658
361,,0.0633
362,,0.0611
363,,0.0591
364,,0.0573
365,,0.0552
366,,0.0534
367,,0.0517
368,,0.0507
369,,0.0494
370,,0.0481
371,,0.0476
372,,0.046
373,,0.0444
374,,0.044
375,,0.0429
376,,0.042
377,,0.0407
378,,0.0396
379,,0.0388
380,,0.0385
381,,0.0368
382,,0.0365
383,,0.0361
384,,0.0343
385,,0.0344
386,,0.0333
387,,0.033
388,,0.0327
389,,0.0312
390,,0.0308
391,,0.0305
392,,0.0294
393,,0.0289
394,,0.0283
395,,0.0281
396,,0.0274
397,,0.0274
398,,0.0267
399,,0.0265
400,,0.026
401,,0.0258
402,,0.0257
403,,0.0257
404,,0.0254
405,,0.0254
406,,0.0252
407,,0.0254
408,,0.0255
409,,0.0257
410,,0.0264
411,,0.0269
412,,0.0272
413,,0.0274
414,,0.0279
415,,0.0289
416,,0.0295
417,,0.0304
418,,0.0313
419,,0.032
420,,0.0332
421,,0.0339
422,,0.0359
423,,0.0375
424,,0.0388
425,,0.0405
426,,0.0421
427,,0.0437
428,,0.0462
429,,0.0487
430,,0.0508
431,,0.0534
432,,0.0561
433,,0.059
434,,0.0619
435,,0.0651
436,,0.0681
437,,0.0714
438,,0.0747
439,,0.0782
440,,0.0827
441,,0.0869
442,,0.0907
443,,0.0956
444,,0.1006
445,,0.1052
446,,0.1112
447,,0.1174
448,,0.1235
449,,0.1305
450,,0.1383
451,,0.1459
452,,0.156
453,,0.1643
454,,0.1746
455,,0.1847
456,,0.196
457,,0.2068
458,,0.2194
459,,0.2309
460,,0.2439
461,,0.2567
462,,0.2698
463,,0.2829
464,,0.2961
465,,0.3089
466,,0.3215
467,,0.3341
468,,0.3467
469,,0.3592
470,,0.3722
471,,0.385
472,,0.3972
473,,0.4107
474,,0.4249
475,0.0098,0.4389
476,0.007,0.4545
477,0.0049,0.4709
478,0.0048,0.4893
479,0.0057,0.5082
480,0.0071,0.5297
481,0.0086,0.5521
482,0.0107,0.5768
483,0.0135,0.6025
484,0.0167,0.6297
485,0.021,0.6589
486,0.0258,0.6892
487,0.0322,0.7199
488,0.0394,0.7518
489,0.0485,0.7846
490,0.0591,0.817
491,0.071,0.8491
492,0.0852,0.88
493,0.1021,0.9081
494,0.1219,0.934
495,0.1454,0.956
496,0.1713,0.9751
497,0.2016,0.9883
498,0.2353,0.9976
499,0.2723,1
500,0.3126,0.9982
501,0.3551,0.9894
502,0.4005,0.9746
503,0.4465,0.9546
504,0.4966,0.9287
505,0.5447,0.8976
506,0.5961,0.8619
507,0.6463,0.8214
508,0.6978,0.7789
509,0.7429,0.7332
510,0.7911,0.6857
511,0.8308,0.6371
512,0.8677,0.5893
513,0.9018,0.5398
514,0.9287,0.4937
515,0.9506,0.4472
516,0.9695,0.4045
517,0.9843,0.3623
518,0.9947,0.3233
519,0.9982,0.2876
520,1,0.2535
521,0.9962,0.2228
522,0.9858,0.1952
523,0.9728,0.1712
524,0.9598,0.1491
525,0.9428,0.1297
526,0.9226,0.1125
527,0.9039,0.0975
528,0.8815,0.0847
529,0.8596,0.0733
530,0.8335,0.0641
531,0.8076,0.0554
532,0.7826,0.0483
533,0.7546,0.0423
534,0.7263,0.0372
535,0.7006,0.0327
536,0.6765,0.0288
537,0.6506,0.0256
538,0.6291,0.0233
539,0.6053,0.0207
540,0.5838,0.0188
541,0.5619,0.0164
542,0.5415,0.016
543,0.5227,0.0144
544,0.5057,0.0134
545,0.4899,0.0123
546,0.472,0.0119
547,0.4573,0.0107
548,0.4416,0.0108
549,0.4274,0.01
550,0.4128,0.0097
551,0.4004
552,0.3874
553,0.3766
554,0.3646
555,0.3537
556,0.3431
557,0.3324
558,0.3229
559,0.3139
560,0.303
561,0.2929
562,0.2837
563,0.2751
564,0.2659
565,0.2579
566,0.2508
567,0.2425
568,0.233
569,0.2249
570,0.2195
571,0.2107
572,0.2031
573,0.1949
574,0.188
575,0.1816
576,0.174
577,0.1673
578,0.1614
579,0.155
580,0.1492
581,0.1427
582,0.1359
583,0.1294
584,0.1252
585,0.1194
586,0.1156
587,0.1114
588,0.1065
589,0.1029
590,0.0989
591,0.0947
592,0.0911
593,0.0873
