"Wavelength","Alexa Fluor 568 EM","Alexa Fluor 568 EX"
300,,0.1837
301,,0.155
302,,0.1312
303,,0.1144
304,,0.1
305,,0.088
306,,0.0802
307,,0.0739
308,,0.0671
309,,0.0635
310,,0.0592
311,,0.0552
312,,0.0551
313,,0.0508
314,,0.0494
315,,0.0513
316,,0.0481
317,,0.047
318,,0.0472
319,,0.0481
320,,0.0471
321,,0.0486
322,,0.0487
323,,0.0491
324,,0.0481
325,,0.048
326,,0.0483
327,,0.0495
328,,0.0492
329,,0.0524
330,,0.0542
331,,0.0549
332,,0.0562
333,,0.0593
334,,0.059
335,,0.0602
336,,0.0633
337,,0.0641
338,,0.0654
339,,0.0668
340,,0.0684
341,,0.0692
342,,0.0704
343,,0.071
344,,0.0723
345,,0.0733
346,,0.0738
347,,0.0745
348,,0.0766
349,,0.0775
350,,0.0784
351,,0.0799
352,,0.0807
353,,0.0813
354,,0.0822
355,,0.0833
356,,0.0839
357,,0.0845
358,,0.0853
359,,0.0856
360,,0.0868
361,,0.0869
362,,0.0875
363,,0.0894
364,,0.089
365,,0.0899
366,,0.0905
367,,0.091
368,,0.0908
369,,0.0905
370,,0.0905
371,,0.0899
372,,0.0875
373,,0.0861
374,,0.0844
375,,0.0829
376,,0.0805
377,,0.0795
378,,0.0786
379,,0.0774
380,,0.0755
381,,0.076
382,,0.0756
383,,0.0742
384,,0.0748
385,,0.0743
386,,0.0746
387,,0.0738
388,,0.0737
389,,0.0727
390,,0.0721
391,,0.0706
392,,0.0694
393,,0.067
394,,0.0657
395,,0.0629
396,,0.061
397,,0.0583
398,,0.0562
399,,0.0531
400,,0.0508
401,,0.0478
402,,0.0455
403,,0.0432
404,,0.0409
405,,0.0381
406,,0.0369
407,,0.0341
408,,0.0318
409,,0.0294
410,,0.0275
411,,0.0249
412,,0.0237
413,,0.0217
414,,0.0202
415,,0.0185
416,,0.0172
417,,0.0156
418,,0.0148
419,,0.013
420,,0.0122
421,,0.0111
422,,0.0095
423,,0.0092
424,,0.0081
425,,0.0076
426,,0.0065
427,,0.0067
428,,0.0052
429,,0.0061
430,,0.0046
431,,0.0039
432,,0.0036
433,,0.0036
434,,0.0025
435,,0.0034
436,,0.0032
437,,0.0031
438,,0.0023
439,,0.003
440,,0.0029
441,,0.0033
442,,0.0026
443,,0.0026
444,,0.0023
445,,0.0024
446,,0.0023
447,,0.0023
448,,0.0025
449,,0.003
450,,0.0032
451,,0.0038
452,,0.004
453,,0.0048
454,,0.005
455,,0.0058
456,,0.0057
457,,0.0065
458,,0.0066
459,,0.0076
460,,0.0078
461,,0.0089
462,,0.0096
463,,0.0106
464,,0.0111
465,,0.0118
466,,0.0129
467,,0.014
468,,0.0144
469,,0.0156
470,,0.017
471,,0.0179
472,,0.0192
473,,0.0203
474,,0.0216
475,,0.0224
476,,0.0241
477,,0.0253
478,,0.0274
479,,0.0294
480,,0.0312
481,,0.0337
482,,0.0357
483,,0.0385
484,,0.0412
485,,0.0439
486,,0.0468
487,,0.0499
488,,0.0528
489,,0.0564
490,,0.0599
491,,0.0633
492,,0.0671
493,,0.071
494,,0.0745
495,,0.0785
496,,0.0827
497,,0.0865
498,,0.0905
499,,0.0945
500,,0.0982
501,,0.1022
502,,0.106
503,,0.1096
504,,0.1139
505,,0.118
506,,0.1223
507,,0.1263
508,,0.1315
509,,0.1366
510,,0.1417
511,,0.1476
512,,0.1537
513,,0.1604
514,,0.1685
515,,0.1765
516,,0.1851
517,,0.1947
518,,0.2051
519,,0.2159
520,,0.228
521,,0.2402
522,,0.2536
523,,0.2671
524,,0.2812
525,,0.2957
526,,0.3114
527,,0.327
528,,0.3428
529,,0.3583
530,,0.3738
531,,0.3903
532,,0.4057
533,,0.4207
534,,0.4352
535,,0.4493
536,,0.4624
537,,0.4745
538,,0.486
539,,0.496
540,,0.5046
541,,0.5117
542,,0.5178
543,,0.5216
544,,0.5253
545,,0.5269
546,,0.5283
547,,0.5279
548,,0.528
549,,0.5275
550,,0.5282
551,,0.5294
552,,0.5316
553,,0.5356
554,,0.5412
555,0.0354,0.5478
556,0.0272,0.5575
557,0.0201,0.5689
558,0.02,0.5821
559,0.0211,0.5975
560,0.0247,0.6146
561,0.0289,0.6347
562,0.0322,0.6557
563,0.0371,0.6794
564,0.0433,0.7037
565,0.05,0.7297
566,0.0564,0.7569
567,0.0654,0.784
568,0.0756,0.8108
569,0.0851,0.8387
570,0.0983,0.8653
571,0.109,0.8902
572,0.1232,0.9138
573,0.1413,0.9356
574,0.1573,0.9552
575,0.1863,0.9718
576,0.2082,0.9846
577,0.2372,0.994
578,0.2705,0.9991
579,0.3002,1
580,0.3352,0.996
581,0.3709,0.9881
582,0.407,0.9754
583,0.4437,0.9586
584,0.4852,0.9381
585,0.5323,0.9138
586,0.5656,0.8859
587,0.6061,0.855
588,0.6505,0.8217
589,0.6859,0.7867
590,0.7245,0.7502
591,0.768,0.7127
592,0.798,0.6731
593,0.8323,0.6346
594,0.872,0.5951
595,0.897,0.5566
596,0.924,0.5189
597,0.9397,0.4828
598,0.9575,0.4466
599,0.9678,0.4132
600,0.9829,0.3803
601,0.9908,0.3502
602,0.9934,0.3215
603,1,0.2944
604,0.9939,0.2688
605,0.9855,0.2456
606,0.9717,0.2244
607,0.9591,0.2042
608,0.9424,0.1852
609,0.9349,0.1689
610,0.9129,0.1534
611,0.8866,0.1392
612,0.8707,0.1265
613,0.8444,0.1151
614,0.8213,0.1035
615,0.8002,0.0938
616,0.7732,0.0848
617,0.7534,0.077
618,0.7249,0.0691
619,0.7,0.0625
620,0.6784,0.0559
621,0.6509,0.0507
622,0.6236,0.0452
623,0.6017,0.0402
624,0.5811,0.0361
625,0.5618,0.0319
626,0.548,0.0285
627,0.526,0.0251
628,0.5088,0.0223
629,0.4875,0.0194
630,0.4755,0.0174
631,0.4556,0.0146
632,0.4408,0.0129
633,0.4325,0.0107
634,0.4145,0.0096
635,0.4032,0.0081
636,0.3891,0.0069
637,0.3783,0.0057
638,0.3703,0.0048
639,0.3563,0.0037
640,0.3461,0.0033
641,0.333,0.0024
642,0.3285,0.002
643,0.3233,0.0012
644,0.3156,0.0009
645,0.3078,0.0006
646,0.3029,0.0002
647,0.2924
648,0.2936
649,0.2829
650,0.2751
651,0.2746
652,0.2675
653,0.2616
654,0.2515
655,0.2447
656,0.2467
657,0.2367
658,0.2397
659,0.2323
660,0.2311
661,0.224
662,0.2257
663,0.222
664,0.2137
665,0.2116
666,0.2052
667,0.202
668,0.1984
669,0.1926
670,0.1891
671,0.1813
672,0.1807
673,0.1788
674,0.1758
675,0.1654
676,0.163
677,0.1545
678,0.149
679,0.1458
680,0.1447
681,0.1406
682,0.1369
683,0.1298
684,0.1218
685,0.1172
686,0.1152
687,0.1123
688,0.1079
689,0.1026
690,0.1031
691,0.0968
692,0.0941
693,0.0887
694,0.0899
695,0.0853
696,0.0867
697,0.0794
698,0.0798
699,0.0802
700,0.0768
701,0.0709
702,0.0691
703,0.0678
704,0.065
705,0.0611
706,0.0611
707,0.0596
708,0.059
709,0.0571
710,0.0509
711,0.0528
712,0.051
713,0.051
714,0.0502
715,0.0501
716,0.0475
717,0.0446
718,0.0452
719,0.0437
