"Wavelength","Alexa Fluor 594 EM","Alexa Fluor 594 EX"
300,,0.1988
301,,0.1796
302,,0.1622
303,,0.1472
304,,0.1354
305,,0.1166
306,,0.0999
307,,0.0836
308,,0.0735
309,,0.0677
310,,0.0579
311,,0.0508
312,,0.0527
313,,0.0462
314,,0.0427
315,,0.0397
316,,0.0456
317,,0.0373
318,,0.0388
319,,0.0409
320,,0.0405
321,,0.0413
322,,0.0413
323,,0.0421
324,,0.0423
325,,0.0418
326,,0.0396
327,,0.0472
328,,0.0431
329,,0.0421
330,,0.0463
331,,0.044
332,,0.0461
333,,0.0486
334,,0.0503
335,,0.0505
336,,0.0522
337,,0.0538
338,,0.0562
339,,0.0583
340,,0.0609
341,,0.0621
342,,0.0633
343,,0.0645
344,,0.0658
345,,0.0683
346,,0.0678
347,,0.0704
348,,0.0709
349,,0.0713
350,,0.0732
351,,0.0759
352,,0.0774
353,,0.0811
354,,0.0813
355,,0.0835
356,,0.0856
357,,0.0899
358,,0.0885
359,,0.0901
360,,0.0916
361,,0.0929
362,,0.0924
363,,0.0945
364,,0.0945
365,,0.0969
366,,0.0969
367,,0.099
368,,0.1025
369,,0.1033
370,,0.1035
371,,0.1075
372,,0.1087
373,,0.1111
374,,0.1123
375,,0.1152
376,,0.1137
377,,0.1136
378,,0.1156
379,,0.1143
380,,0.1106
381,,0.1102
382,,0.108
383,,0.1094
384,,0.1043
385,,0.1036
386,,0.1014
387,,0.0996
388,,0.0985
389,,0.0981
390,,0.0969
391,,0.0975
392,,0.0967
393,,0.0985
394,,0.0975
395,,0.0981
396,,0.0977
397,,0.0979
398,,0.0981
399,,0.0984
400,,0.0963
401,,0.096
402,,0.0953
403,,0.0948
404,,0.0912
405,,0.0917
406,,0.0883
407,,0.0867
408,,0.0836
409,,0.0819
410,,0.0794
411,,0.0763
412,,0.073
413,,0.0708
414,,0.0679
415,,0.0649
416,,0.0624
417,,0.0607
418,,0.0572
419,,0.0539
420,,0.0524
421,,0.0496
422,,0.0458
423,,0.0456
424,,0.0429
425,,0.0404
426,,0.039
427,,0.0375
428,,0.0344
429,,0.0344
430,,0.0328
431,,0.0309
432,,0.0294
433,,0.0301
434,,0.0281
435,,0.0288
436,,0.0272
437,,0.0262
438,,0.0264
439,,0.0257
440,,0.0249
441,,0.0244
442,,0.0238
443,,0.0238
444,,0.0239
445,,0.0242
446,,0.0239
447,,0.0244
448,,0.0245
449,,0.0234
450,,0.0229
451,,0.0234
452,,0.0225
453,,0.0238
454,,0.0226
455,,0.0228
456,,0.0243
457,,0.0237
458,,0.0237
459,,0.0236
460,,0.0253
461,,0.0239
462,,0.0245
463,,0.0247
464,,0.025
465,,0.0244
466,,0.0264
467,,0.0272
468,,0.0275
469,,0.027
470,,0.0284
471,,0.0283
472,,0.0296
473,,0.0293
474,,0.0315
475,,0.031
476,,0.0315
477,,0.0326
478,,0.0338
479,,0.0338
480,,0.0347
481,,0.0361
482,,0.0369
483,,0.0366
484,,0.0397
485,,0.0406
486,,0.0424
487,,0.0435
488,,0.0455
489,,0.0474
490,,0.05
491,,0.0507
492,,0.053
493,,0.0555
494,,0.0583
495,,0.0597
496,,0.0627
497,,0.0654
498,,0.0687
499,,0.0722
500,,0.0748
501,,0.0768
502,,0.0806
503,,0.0823
504,,0.087
505,,0.0892
506,,0.0918
507,,0.0951
508,,0.0987
509,,0.1004
510,,0.1043
511,,0.1056
512,,0.1091
513,,0.1121
514,,0.1158
515,,0.1195
516,,0.1237
517,,0.1272
518,,0.1315
519,,0.1362
520,,0.1433
521,,0.1483
522,,0.1549
523,,0.1623
524,,0.1692
525,,0.1766
526,,0.1843
