"Wavelength","ATTO 532 EM","ATTO 532 AB"
300,,0.0718121245090909
301,,0.0743363649272727
302,,0.076763203278355
303,,0.0790926395623376
304,,0.0813246737792207
305,,0.0832294360043289
306,,0.0852294363333332
307,,0.087142857095238
308,,0.0891645025541124
309,,0.0912034635714284
310,,0.0933073590129869
311,,0.0953419910303029
312,,0.0975064923593072
313,,0.0999090903419912
314,,0.102554111805195
315,,0.105008657917749
316,,0.107077922350649
317,,0.109077922077922
318,,0.110549783549783
319,,0.111437229437229
320,,0.111614718614718
321,,0.110839826839827
322,,0.109554112281385
323,,0.107268398268398
324,,0.104316017943723
325,,0.100913421225108
326,,0.0969653688354977
327,,0.0926406933766233
328,,0.0880432908961038
329,,0.0832597402554111
330,,0.0783722941991341
331,,0.0734155844285713
332,,0.0688484853506492
333,,0.0644675329437229
334,,0.0603593074199133
335,,0.056432900125541
336,,0.0529480519047618
337,,0.0499437224112553
338,,0.0473766236406926
339,,0.0451341993030302
340,,0.043744589060606
341,,0.0429437232294372
342,,0.0426709963246753
343,,0.042645022025974
344,,0.0426493514935064
345,,0.0428181825454545
346,,0.0431082262727272
347,,0.0434805204458874
348,,0.0442294378874458
349,,0.0449826847532467
350,,0.0455021651861471
351,,0.0455930744588744
352,,0.045194806025974
353,,0.0443333337142856
354,,0.042982684112554
355,,0.0415800862770562
356,,0.0401212113852813
357,,0.0384935059870129
358,,0.0366277051038961
359,,0.0347402594632034
360,,0.0329567096147186
361,,0.0314502157316017
362,,0.0301558432337662
363,,0.0292510814978355
364,,0.0285367962813852
365,,0.0278614721471861
366,,0.0270303036147186
367,,0.0260909097792207
368,,0.0249090914632034
369,,0.0239696971082251
370,,0.023047619017316
371,,0.0223419912510822
372,,0.0216753246753246
373,,0.0211125541125541
374,,0.0205844155844156
375,,0.0203116883116883
376,,0.0201861471861472
377,,0.0203419913419913
378,,0.0206277056277056
379,,0.0208008658008658
380,,0.0208614718614718
381,,0.0208571428571428
382,,0.0207445887445887
383,,0.0207662337662337
384,,0.0209220779220779
385,,0.0210606061515151
386,,0.020982684012987
387,,0.0205800864415584
388,,0.0200303026580086
389,,0.0194632026536796
390,,0.0187662328441558
391,,0.0182034624502164
392,,0.0177056273593073
393,,0.0172034634588744
394,,0.0166753253982684
395,,0.0164329015844156
396,,0.0160779232900433
397,,0.0158311696926407
398,,0.0156277062554112
399,,0.0154025977748918
400,,0.0150000001385281
401,,0.0147792207489177
402,,0.0144329003419913
