"Wavelength","ATTO 647N EM","ATTO 647N AB"
300,,0.0830484811030302
301,,0.0869454520090908
302,,0.0906670980277056
303,,0.0942134191588744
304,,0.0975844154025973
305,,0.100748918095238
306,,0.103813853320346
307,,0.106688312142857
308,,0.109415584142857
309,,0.111887445887446
310,,0.114415584415584
311,,0.116688311688312
312,,0.118813852813853
313,,0.120748917748918
314,,0.122675324675325
315,,0.124242424242424
316,,0.12556277056277
317,,0.126683982683983
318,,0.127437229437229
319,,0.127298701298701
320,,0.126385281385281
321,,0.124787878787879
322,,0.122419913419913
323,,0.119017316290043
324,,0.114757575757576
325,,0.109835497298701
326,,0.104177488077922
327,,0.0979134186926406
328,,0.0911038946277055
329,,0.083891773082251
330,,0.0765974012380951
331,,0.0693896100259739
332,,0.0624372293809523
333,,0.055774892099567
334,,0.0496839833766233
335,,0.044134200090909
336,,0.0392554115714285
337,,0.0349610387316017
338,,0.0314285711861471
339,,0.0284805192857142
340,,0.0260086577705627
341,,0.023974026069264
342,,0.0222683984978355
343,,0.0208961039090909
344,,0.0199264064632034
345,,0.0192510814415584
346,,0.0186753237532467
347,,0.0181125533593073
348,,0.0176753243290043
349,,0.0174329006883117
350,,0.0170779228008658
351,,0.0168311698917749
352,,0.0164458886277056
353,,0.0163419923419913
354,,0.0162770572770563
355,,0.0162510834329004
356,,0.0165064945670995
357,,0.0170000007229437
358,,0.0174025976580086
359,,0.0176277053722943
360,,0.0178311681082251
361,,0.0180779209264069
362,,0.0184328992207792
363,,0.0187662329047619
364,,0.0192337656060606
365,,0.0195670991948052
366,,0.0198311686926407
367,,0.0201385281688311
368,,0.0206017316926407
369,,0.021
370,,0.0213982683982684
371,,0.0217705627705627
372,,0.0222294372294372
373,,0.0226017316017316
374,,0.0229090909090909
375,,0.0233679652770562
376,,0.0239999999696969
377,,0.0245411256796536
378,,0.0249696973419913
379,,0.0255064943160173
380,,0.0263722952943723
381,,0.0271688319220779
382,,0.0277402598138528
383,,0.0285064933419913
384,,0.029510822082251
385,,0.0305108224112554
386,,0.0316883119826839
387,,0.0328008667792207
388,,0.0338917756493506
389,,0.0347186151515151
390,,0.0354632031818181
391,,0.0362597397316017
392,,0.0368614706580086
393,,0.0375800857359307
394,,0.0381515145064935
395,,0.0383549779740259
396,,0.0384372287662337
397,,0.0382640687012986
398,,0.0380303025064935
399,,0.0376883111818181
400,,0.0372813847272727
401,,0.0371385279999999
402,,0.0369696969999999
403,,0.0369090909999999
404,,0.0369999999999999
405,,0.0369090909999999
406,,0.0369696969999999
407,,0.0370476187272727
408,,0.0372510819999999
409,,0.0377359304458874
410,,0.0382813847056277
411,,0.0389090905108225
412,,0.0396883114025973
413,,0.0404025972077922
414,,0.0411212117532467
415,,0.0415800858658008
416,,0.0418917742294372
417,,0.0422121201515151
418,,0.0422121201515151
419,,0.0420735924112554
420,,0.041640692017316
421,,0.0409350644155844
422,,0.0399610383852813
423,,0.0384761903982683
424,,0.0366103895454545
425,,0.0346709957099567
426,,0.0324329009090909
427,,0.0301818187186147
428,,0.027627706077922
429,,0.0251428571774891
430,,0.0227662335844156
431,,0.0203419914285714
432,,0.0179567098441558
433,,0.0159393939974026
434,,0.0139567099610389
435,,0.0122510822978355
436,,0.0106450217735931
437,,0.00916017309134198
438,,0.00801731610476189
439,,0.00701731613766233
440,,0.00625108234891774
441,,0.00567532477229436
442,,0.0051125541073593
443,,0.0046753247056277
444,,0.00434199142424242
445,,0.00413852829696969
446,,0.00400000021515151
447,,0.00377056297012987
448,,0.00362770575324675
449,,0.00337229444675324
450,,0.00313852816623376
451,,0.00296969696363636
452,,0.00290909089090909
453,,0.003
454,,0.00290909089090909
455,,0.00296969696363636
456,,0.00313852816623376
457,,0.00337229444675324
458,,0.00362770575324675
459,,0.00377056297012987
460,,0.00400000021515151
461,,0.0042294374060606
462,,0.00437229446060605
463,,0.00462770563939393
464,,0.0048614718030303
465,,0.00503030292121211
466,,0.00518181802727272
467,,0.00503030292121211
468,,0.0048614718030303
469,,0.00462770563939393
470,,0.00437229446060605
471,,0.00413852829696969
472,,0.00396969717878787
473,,0.00390909113636363
474,,0.00400000019999999
475,,0.00400000019999999
476,,0.00400000019999999
477,,0.00400000019999999
478,,0.00400000019999999
479,,0.00390909113636363
480,,0.00396969717878787
481,,0.00413852829696969
482,,0.00437229446060605
483,,0.00453679653030302
484,,0.00483116876666666
485,,0.00516883108744588
486,,0.0054632034103896
487,,0.00562770565324675
488,,0.00577056283376623
489,,0.00600000010303029
490,,0.00622943736147185
491,,0.0063722945095238
492,,0.00662770579047618
493,,0.00677056293852813
494,,0.00700000019696969
495,,0.00722943746623376
496,,0.00737229464675324
497,,0.00762770595324674
498,,0.00777056321558441
499,,0.00800000043030302
500,,0.00822943753679653
501,,0.00828138536536796
502,,0.00859740248917748
503,,0.00890909062943722
504,,0.0093722940164502
505,,0.00976623344675323
506,,0.0102034630502164
507,,0.0107056276372294
508,,0.0112943722848485
