"Wavelength","ATTO 488 EM","ATTO 488 AB"
300,,0.147987879878788
301,,0.151763637636364
302,,0.155184416844156
303,,0.158250217502164
304,,0.160961039610389
305,,0.163428570779221
306,,0.165480517532467
307,,0.167099564761905
308,,0.168004326709956
309,,0.168311686017316
310,,0.167675323246753
311,,0.166233763679653
312,,0.163658006320346
313,,0.159861469264069
314,,0.154818180909091
315,,0.148896107099567
316,,0.142285718311688
317,,0.135242429134199
318,,0.127952385935065
319,,0.120627709593073
320,,0.113372296406926
321,,0.105956709662338
322,,0.0987272713376622
323,,0.0917619048787878
324,,0.0855367966623375
325,,0.0797965367142856
326,,0.0752640682987012
327,,0.0719350636666666
328,,0.0696969694112553
329,,0.0683766237445886
330,,0.0680259742034631
331,,0.0683463215887445
332,,0.0690173179090908
333,,0.0697402612683982
334,,0.0706580087619047
335,,0.0714458863679653
336,,0.0717792197316016
337,,0.0719956699264068
338,,0.071809522095238
339,,0.0713073584372293
340,,0.0703766242683982
341,,0.0694155858008657
342,,0.0683809542251081
343,,0.0670735946883116
344,,0.0654718629999999
345,,0.0636406944329004
346,,0.0613549793766233
347,,0.0589480532943722
348,,0.0563722957575757
349,,0.0540000004545454
350,,0.0516277058831168
351,,0.0491428569740259
352,,0.0466753236580086
353,,0.0443116873030302
354,,0.0421861463766233
355,,0.040341991056277
356,,0.0384458872987012
357,,0.0367402599567099
358,,0.0350476196147186
359,,0.0334805199610389
360,,0.0319264069740259
361,,0.0309393935974026
362,,0.0299870124025974
363,,0.0292034625714285
364,,0.0283030297748917
365,,0.0275757579220779
366,,0.0268441565974026
367,,0.0262640701861471
368,,0.0256147194242424
369,,0.0252943726666666
370,,0.0247056278441558
371,,0.0242943722640692
372,,0.0237056276147186
373,,0.0232034632034632
374,,0.0227662337662337
375,,0.0223722943722943
376,,0.022
377,,0.0216277056277056
378,,0.0211428571428571
379,,0.0208571429480519
380,,0.0203722944025974
381,,0.0199999998614718
382,,0.0196277052554112
383,,0.0192337654242424
384,,0.0187965358744588
385,,0.0182034624502164
386,,0.0177662334199134
387,,0.0173722946277056
388,,0.0169090916320346
389,,0.0165974036580086
390,,0.0162813864632034
391,,0.0162294383203463
392,,0.016000001030303
393,,0.0157705636320346
394,,0.0157186153463203
395,,0.0154025977748918
396,,0.0150000001385281
397,,0.0145974025670995
398,,0.0141904760995671
399,,0.0141082251082251
400,,0.0141082251082251
401,,0.0142813852813853
402,,0.0146277056277056
403,,0.0148614718614718
404,,0.015030303030303
405,,0.0149999999090909
406,,0.0149696969393939
407,,0.0151385282770563
408,,0.0152813856536796
409,,0.0155064943160173
410,,0.0159696978917749
411,,0.0164502172034632
412,,0.0169696972251082
413,,0.0175064932207792
414,,0.0183722937878788
415,,0.0190779213896104
416,,0.0198008652467532
417,,0.0206753245367965
418,,0.0215627705021645
