"Wavelength","ATTO 643 EM","ATTO 643 AB"
300,,0.0926424259454545
301,,0.0963606071030302
302,,0.099964069782251
303,,0.103452813983117
304,,0.106826839705628
305,,0.110186147095238
306,,0.113376623376623
307,,0.116354978354978
308,,0.11921212030303
309,,0.121839827445887
310,,0.124216451904762
311,,0.126497837835498
312,,0.128398270952381
313,,0.129991344329004
314,,0.131238097835498
315,,0.131835497835498
316,,0.131787876190476
317,,0.130696967359307
318,,0.128896101341991
319,,0.126316014978355
320,,0.123376621688312
321,,0.119943722337662
322,,0.116038961766234
323,,0.111463203311688
324,,0.106129870467532
325,,0.0999740270692639
326,,0.0930562785151514
327,,0.0856103911904761
328,,0.0780909110216449
329,,0.0704199149350648
330,,0.0628051956666666
331,,0.0556536802424242
332,,0.0492424246623376
333,,0.0436753255411255
334,,0.0389307364675324
335,,0.0349653684848484
336,,0.0317142864805194
337,,0.0288051952207792
338,,0.0262683986277056
339,,0.0240649352813853
340,,0.0221298697359307
341,,0.0204632031818182
342,,0.0192207787792208
343,,0.0181861471601731
344,,0.0172510825064935
345,,0.016506494
346,,0.0159090915974026
347,,0.0152813858354978
348,,0.0147359308744589
349,,0.0142510822207792
350,,0.0140476189567099
351,,0.013969696969697
352,,0.0139090909090909
353,,0.014
354,,0.014
355,,0.014
356,,0.0139090909090909
357,,0.013969696969697
358,,0.0140476189567099
359,,0.0142510822207792
360,,0.0147359308744589
361,,0.0152813858354978
362,,0.0159090915974026
363,,0.0166883122727273
364,,0.0173116885064935
365,,0.0179999998051948
366,,0.0186883111038961
367,,0.0193116876233766
368,,0.0200909085367965
369,,0.0206277054891775
370,,0.0212337662640692
371,,0.0218874459783549
372,,0.0222337662337662
373,,0.0225367965367965
374,,0.0229696968787878
375,,0.0234199133896104
376,,0.0241082252467532
377,,0.0248787884329004
378,,0.0260000006883117
379,,0.0269393945238095
380,,0.0278311688441558
381,,0.0287662336926407
382,,0.0297445883160173
383,,0.0306753247575757
384,,0.0318008659740259
385,,0.0331688316277056
386,,0.0344935069956709
387,,0.0354891775064935
388,,0.036580086069264
389,,0.0375238092121212
390,,0.0381212121168831
391,,0.0385497841861471
