"Wavelength","Alexa Fluor 546 EM","Alexa Fluor 546 EX"
645,0.0991,0.0126
646,0.0951,0.0127
647,0.0906,0.0123
648,0.0886,0.0132
649,0.0846,0.0131
650,0.0818,0.0128
651,0.078,0.0126
652,0.0751,0.0128
653,0.0726,0.0131
654,0.0703,0.0125
655,0.0663,0.0129
656,0.0639,0.0127
657,0.062,0.0127
658,0.0594,0.0128
659,0.0571,0.0124
660,0.0553,0.0128
661,0.0533,0.0124
662,0.051,0.0127
663,0.0493,0.0125
664,0.0473,0.0128
665,0.0461,0.0127
666,0.0441,0.0124
667,0.0431,0.0133
668,0.0412,0.0131
669,0.0405,0.0127
670,0.0381,0.0128
671,0.0371,0.0129
672,0.0371,0.0124
673,0.0355,0.0123
674,0.0346,0.012
675,0.0341,0.0128
676,0.0328
677,0.0316
678,0.0326
679,0.0312
680,0.0298
681,0.0294
682,0.0294
683,0.0283
684,0.0273
685,0.0267
686,0.0242
687,0.0248
688,0.0249
689,0.0233
690,0.0228
691,0.0241
692,0.0222
693,0.0223
694,0.0215
695,0.0216
696,0.021
697,0.0194
698,0.0203
699,0.0198
700,0.0183
